tool	yearPublished	generalField	specificField
soap	2008	Biological.sciences	Biochemistry
soap2	2009	Biological.sciences	Genetics
soap2	2009	Biological.sciences	Biochemistry
soapdenovo	 2010	Biological.sciences	Genetics
soapdenovo	 2010	Biological.sciences	Biochemistry
soapec	2010	Biological.sciences	Genetics
soapec	2010	Biological.sciences	Biochemistry
soapfuse	2013	Biological.sciences	Genetics
soapsplice	2011	Computer.sciences	Computer.science
soapstar	2009	Biological.sciences	Genetics
soapstar	2009	Biological.sciences	Biochemistry
soaptrans	2014	Computer.sciences	Computer.science
socrates	2014	Biological.sciences	Bioinformatics
softsearch	2013	Technologies	Medical.informatics
softsv	2016	Technologies	Medical.informatics
spades	2012	Computer.sciences	Computer.science
spadessc	2012	Computer.sciences	Computer.science
sparse	2012	Biological.sciences	Genetics
sparseassembler	2012	Biological.sciences	Genetics
spcomp	2013	Biological.sciences	Bioinformatics
srmapper	2012	Biological.sciences	Biochemistry
ssaha	2001	Computer.sciences	Informatics
ssake	2007	Biological.sciences	Genetics
ssc	2015	Biological.sciences	Biostatistics
ssearch	1991	Biological.sciences	Biochemistry
ssm	2003	Biological.sciences	Bioinformatics
sst	2001	Computer.sciences	Computer.science
st	2004	Computer.sciences	Computer.science
starbeast	2010	Computer.sciences	Computer.science
starchip	2018	Biological.sciences	Genetics
stemnet	2017	Biological.sciences	Genetics
strcutal	1993	Biological.sciences	Biochemistry
subread	2013	Biological.sciences	Bioinformatics
subread	2013	Computer.sciences	Computer.science
svaba	2018	Biological.sciences	Bioinformatics
svelter	2016	Biological.sciences	Bioinformatics
svelter	2016	Biological.sciences	Genetics
svfinder	2014	Biological.sciences	Biostatistics
svseq	2012	Computer.sciences	Computer.science
swissmodel	2003	Biological.sciences	Bioinformatics
taipan	2009	Computer.sciences	Computer.science
targetrna	2008	Computer.sciences	Computer.science
targetrna2	2014	Computer.sciences	Computer.science
taxatortk	2015	Biological.sciences	Bioinformatics
tcoffee	2000	Biological.sciences	Genetics
team	2010	Computer.sciences	Computer.science
team	2010	Biological.sciences	Biostatistics
tiddit	2017	Biological.sciences	Biochemistry
tophat	2013	Biological.sciences	Bioinformatics
tophat	2013	Computer.sciences	Computer.science
tophatfusion	2011	Biological.sciences	Bioinformatics
tophatfusion	2011	Computer.sciences	Computer.science
topslam	2016	Computer.sciences	Computer.science
transabyss	2010	Biological.sciences	Genetics
tscan	2016	Biological.sciences	Biostatistics
ulysses	2015	Biological.sciences	Bioinformatics
urd	2018	Biological.sciences	Molecular.biology
variationhunter	2009	Computer.sciences	Computer.science
variationhunter	2009	Biological.sciences	Genetics
varscan	2012	Biological.sciences	Genetics
vcake	2007	Biological.sciences	Genetics
velvet	2008	Biological.sciences	Bioinformatics
waterfall	2015	Biological.sciences	Molecular.medicine
wham	2015	Biological.sciences	Genetics
wublast	2003	Biological.sciences	Bioinformatics
xcmswithcorrection	2006	Biological.sciences	Molecular.biology
xcmswithoutretentiontime	2006	Biological.sciences	Molecular.biology
zinbwave	2018	Biological.sciences	Bioinformatics
